time,measured,predicted
0.61,526.2183765996431,428.267222182687
0.611,526.3644789396787,428.55453047815735
0.612,526.4975010457108,428.84106747665413
0.613,526.6172209411397,429.12683524877184
0.614,526.1100388470257,429.41183585954656
0.615,526.2685049623232,429.6960713684706
0.616,526.4095944660909,429.97954382950735
0.617,525.9247050194818,430.2622552911065
0.618,526.1017045175337,430.5442077962181
0.619,526.2594740657803,430.8254033823081
0.62,525.7895966592023,431.1058440813726
0.621,525.9785769932821,431.38553191995277
0.622,526.1501892939539,431.6644689191494
0.623,526.3046403645585,431.9426570946374
0.624,526.4421163281027,432.2200984566806
0.625,526.5673746952923,432.4967950101461
0.626,526.0667072257631,432.7727487545189
0.627,526.2279765031868,433.0479616839159
0.628,526.3746488528682,433.3224357871012
0.629,525.8917239675814,433.5961730474997
0.63,526.0720215708232,433.8691754432114
0.631,526.2342894137408,434.14144494702646
0.632,525.7654004723668,434.41298352643855
0.633,525.95833042513,434.6837931436598
0.634,526.1319673826171,434.95387575563433
0.635,526.2867106443554,435.2232333140532
0.636,526.4275095799198,435.49186776536743
0.637,526.5542286219278,435.7597810508031
0.638,526.0533457597351,436.0269751063748
0.639,526.2174811837615,436.2934518628999
0.64,526.3636730653853,436.5592132460122
0.641,525.8833757588468,436.82426117617604
0.642,526.0645081829621,437.08859756870027
0.643,526.2259973646658,437.35222433375174
0.644,525.7594676281992,437.61514337636976
0.645,525.9514608653792,437.87735659647893
0.646,526.1257847788413,438.13886588890387
0.647,526.2826763009572,438.39967314338196
0.648,525.8089486708615,438.65978024457786
0.649,525.9975238037753,438.9191890720966
0.65,526.1672414233977,439.17790150049706
0.651,526.318457281058,439.4359193993061
0.652,526.4560815529522,439.69324463303155
0.653,525.965013397657,439.94987906117586
0.654,525.5245820578913,440.2058245382496
0.655,525.7415938521021,440.4610829137846
0.656,525.9353744668919,440.7156560323477
0.657,525.4979070202027,440.96954573355384
0.658,525.7160563181824,441.22275385207945
0.659,525.9139206863641,441.4752822176755
0.66,526.0919986177277,441.72713265518104
0.661,526.2507387559549,441.978306984536
0.662,525.7817348803594,442.22880702079493
0.663,525.9730313923235,442.4786345741394
0.664,526.1436682530912,442.72779144989175
0.665,525.685371427782,442.97627944852746
0.666,525.8847742850038,443.22410036568886
0.667,526.0657668565034,443.4712559921975
0.668,525.615260170853,443.7177481140676
0.669,525.8216741537677,443.9635785125185
0.67,526.008976738391,444.208748963988
0.671,526.1760190645518,444.45326124014457
0.672,525.7144871580966,444.6971171079009
0.673,525.9125084422869,444.940318329426
0.674,526.0891975980583,445.1828666621585
0.675,525.6363478382525,445.42476385881884
